Index,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Graphics Card Ram Size,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Voltage,Batteries,Power Source,Number of USB 2.0 Ports,Hard Drive Rotational Speed,National Stock Number,Rear Webcam Resolution,Package Dimensions,Audio-out Ports (#),Manufacturer,Language,ASIN,Date First Available,Department,Is Discontinued By Manufacturer,Country of Origin,Cover Material,Number of Items,Ruling,Sheet Size,Manufacturer Part Number,Part Number,Size,Style,Wattage,Item Package Quantity,Display Style,Special Features,Usage,Included Components,Batteries Included?,Batteries Required?,Battery Cell Type,Warranty Description,Price($)
31,‎11.6 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎2.8 GHz celeron,‎4 GB LPDDR4,‎2.8 GHz,‎32 GB Embedded MultiMediaCard,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎4 GB,‎Bluetooth,‎2,‎10 Hours,‎acer,‎Chromebook Spin 311,‎CP311-2H-C679,‎PC,‎Chrome OS,‎2.65 pounds,‎11.65 x 8.11 x 0.79 inches,‎11.65 x 8.11 x 0.79 inches,‎Grey,‎Intel,‎2,‎DDR4 SDRAM,‎32,‎Solid State,‎No Optical Drive,‎24 Volts,‎1 AA batteries required. (included),‎Battery Powered,,,‎NX.HKKAA.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0
32,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎4.5 GHz ryzen_5,‎4 DDR5,‎5600 MHz,‎512 GB SSD,,‎NVIDIA,‎Dedicated,‎4 GB,,‎3,,‎ASUS,‎TUF Gaming A15,‎FA506NF-ES51,,‎Windows 11 Home,‎7.74 pounds,‎14.13 x 0.9 x 10.08 inches,‎14.13 x 0.9 x 10.08 inches,‎Graphite Black,‎AMD,‎6,‎DDR5 SDRAM,‎8 GB,‎SATA 6 GB/s,‎No Drive,,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.72
33,‎14 Inches,‎3840 x 2160 pixels,‎3840 x 2160 pixels,‎5.1 GHz core_i9,‎32 LPDDR5,,‎1000 GB SSD,‎Intel Iris,‎Intel,‎Integrated,,‎Bluetooth,‎2,,‎ASUS,‎UX8406MA-PS99T,‎Zenbook DUO,,‎Windows 11 Home,‎3.64 pounds,‎12.34 x 0.57 x 8.58 inches,‎12.34 x 0.57 x 8.58 inches,‎Inkwell Gray,‎Intel,‎16,‎DDR5 SDRAM,‎32 GB,‎PCIE x 4,‎No Drive,,‎1 Lithium Ion batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.99
34,‎15 Inches,‎2560 x 1440 pixels,‎2560x1440 Pixels,‎5.2 GHz core_i7,‎16 GB DDR5,‎5200 MHz,‎1 TB SSD,‎NVIDIA GeForce RTX 4070,‎NVIDIA,‎RTX 4070,‎12 GB,,‎3,,‎Razer,‎Blade,‎RZ09-0485ZED3-R3U1,‎PC,‎Windows 11,‎4.54 pounds,‎13.98 x 9.25 x 0.67 inches,‎13.98 x 9.25 x 0.67 inches,‎Black,‎Intel,‎14,‎DDR5 RAM,‎16 GB,‎Solid State,,‎240 Volts,‎4 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1799.99
35,‎14 Inches,‎1920 x 1080 pixels,‎1920 x 1200 Pixels,‎5.2 GHz core_i7_family,‎32 LPDDR5,,‎1 TB SSD,‎Intel Iris,‎Intel,‎Integrated,‎32 GB,‎Bluetooth,‎2,,‎Lenovo,‎ThinkPad X1 Carbon Gen 11 Laptop PC,‎21HM Configured by Lenovo,,‎Windows 11 Pro,‎1.4 pounds,‎0.59 x 8.76 x 12.43 inches,‎0.59 x 8.76 x 12.43 inches,‎Touchscreen,‎Intel,‎10,‎GDDR5,,‎NVMe,‎No Optical Drive,‎230 Volts,‎1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.0
36,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎2.8 GHz celeron,‎12 GB DDR4,,‎512 GB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,,‎802.11ax,‎2,,‎Lenovo,‎IdeaPad 1 15IJL7,‎IdeaPad 1 15IJL7,‎PC,‎Windows 11 Home,‎3.48 pounds,‎14.03 x 9.6 x 0.75 inches,‎14.03 x 9.6 x 0.75 inches,‎Grey,‎Intel,‎2,‎DDR4 SDRAM,,‎PCIE x 4,‎No Optical Drive,‎3.6 Volts,,‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.93
37,‎13.3 Inches,‎2560 x 1600 pixels,‎2560x1600,‎3.1 GHz,‎8 GB DDR3,‎4266 MHz,‎256 GB SSD,,‎Apple,‎Integrated,‎8 GB,‎Bluetooth,,‎10 	years,‎Apple,‎MacBook Air,‎MGN63LL/A,‎Mac,‎Mac OS,‎2.8 pounds,‎12 x 10 x 10 inches,‎12 x 10 x 10 inches,‎Space Gray,‎Apple,‎8,‎DDR3 SDRAM,‎256 GB,,,‎15 Volts,,‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.77
38,‎16.1 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎4.3 GHz amd_ryzen_7,‎DDR4,,‎512 GB M.2 2280 SSD,‎AMD Radeon RX Vega 8 1.90GHz,‎AMD,‎Integrated,‎16 GB,"‎802.11a/b/g/n/ac, Bluetooth",‎2,‎8 Hours,‎ACEMAGIC,‎AX16PRO,‎AX16PRO,,‎Windows 11,‎3.74 pounds,‎14.25 x 9.9 x 0.7 inches,‎14.25 x 9.9 x 0.7 inches,‎Gray,‎AMD,‎8,‎DDR4 SDRAM,,‎Serial ATA-300,,,‎1 Lithium Ion batteries required. (included),,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.99
39,‎14 Inches,‎1920 x 1080 pixels,‎1920 * 1200 Pixels,‎4.5 GHz ryzen_7,‎16 GB DDR4,,‎512 GB SSD,‎AMD Radeon Graphics,‎NVIDIA,‎Integrated,‎768 MB,‎802.11ax,‎2,,‎Lenovo,‎ThinkPad E14 Gen 5,‎ThinkPad E14 Gen 5,‎PC,‎Windows 11 Pro,‎3.7 pounds,‎12.3 x 8.6 x 0.71 inches,‎12.3 x 8.6 x 0.71 inches,‎Black,‎AMD,‎8,‎DDR4 SDRAM,,‎PCIE x 4,‎No Optical Drive,‎230 Volts,,‎AC & Battery,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.0
40,‎15.6 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎3 GHz core_i3,‎12 GB DDR4,‎4.1 GHz,‎256 GB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,‎12 GB,‎Bluetooth,‎2,,‎Lenovo,‎IdeaPad,‎Ideapad,‎PC,‎Windows 11 Home,‎4.1 pounds,‎14.26 x 9.98 x 0.78 inches,‎14.26 x 9.98 x 0.78 inches,‎Grey,‎Intel,‎2,‎DDR4 SDRAM,‎256 GB,‎PCIE x 4,‎No Optical Drive,‎3.7 Volts,‎1 Lithium Ion batteries required. (included),,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.99
41,‎14 Inches,‎1366 x 768,‎1366 x 768 Pixels,‎1.1 GHz celeron,‎4 GB DDR4,‎1.1 GHz,‎64 GB SSD,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎4 GB,"‎802.11a/b/g/n/ac, Bluetooth",‎3,‎14 Hours,‎HP,‎Chromebook 14a-na0226nr,‎14a-na0226nr,‎PC,‎Chrome OS,‎3.24 pounds,‎12.82 x 8.6 x 0.7 inches,‎12.82 x 8.6 x 0.7 inches,‎Mineral Silver,‎Intel,‎4,‎DDR4 SDRAM,‎8 GB,‎Solid State,‎No Optical Storage Device,‎5 Volts,‎1 Lithium Ion batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.05
42,‎16 Inches,‎1920 x 1200 pixels,‎1920 x 1200 Pixels,‎3.4 hertz celeron,‎16 DDR4,‎2666 GHz,‎512 GB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,‎16 GB,"‎Bluetooth, 5 GHz Radio Frequency, 2.4 GHz Radio Frequency",‎2,‎6 Hours,‎FUNYET,‎DuetBook,‎DuetBook,,‎Windows 11 Pro,‎3.5 pounds,‎14.1 x 9.1 x 0.8 inches,‎14.1 x 9.1 x 0.8 inches,‎N95,‎Intel,‎1,‎DDR4 SDRAM,‎1 GB,‎eSATA,‎BD-R,,‎1 Lithium Ion batteries required. (included),,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.99
43,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎2 GHz core_i3,‎16 GB LPDDR4,,‎512 GB SSD,‎Intel HD Graphics 5500,‎Intel,"‎Integrated, Dedicated",,‎Bluetooth,‎2,,‎BiTECOOL,,‎HaloBook,‎PC,‎Windows 11 Pro,‎5.39 pounds,‎14.1 x 9.5 x 0.78 inches,‎14.1 x 9.5 x 0.78 inches,‎Gray,‎Intel,‎2,‎DDR4 SDRAM,‎512 GB,‎Solid State,‎No,,‎1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0
44,‎16 Inches,‎3840 x 2160 pixels,‎2880x1800 Pixels,‎4 core_i7,‎16 LPDDR5,,‎SSD,,‎Intel,‎Integrated,,,‎1,,‎SAMSUNG,‎Galaxy Book4,‎NP960XGK-KG1US,,‎Windows 11 Home,‎3.44 pounds,‎13.99 x 9.86 x 0.49 inches,‎13.99 x 9.86 x 0.49 inches,‎Gray,‎Intel,‎1,,‎1 TB,,‎CD-R,,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.03
45,‎14 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎4.7 GHz apple_ci7,‎16 LPDDR4X,,‎512 GB SSD,‎Intel Xe,‎Intel,‎Integrated,‎16 GB,‎802.11ax,‎3,‎12.5 Hours,‎Lenovo,‎X1 Carbon Gen 11,‎21HM,‎PC,‎Windows 11 Pro,‎1.4 pounds,‎12 x 1 x 7 inches,‎12 x 1 x 7 inches,‎16GB RAM | 512 GB PCIe SSD,‎Intel,‎12,‎DDR4 SDRAM,,‎PCIE x 16,‎No Optical Drive,‎230 Volts,‎1 Lithium Polymer batteries required.,‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.99
46,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎2.7 GHz core_i5_family,‎16 GB DDR4,,‎512 GB SSD,‎NVIDIA GeForce RTX 3050,‎NVIDIA,‎Dedicated,‎16 GB,,‎4,,‎MSI,‎MSI GF63,‎MSI GF63 thin,,‎Windows 11,‎4.1 pounds,‎14.13 x 9.99 x 0.86 inches,‎14.13 x 9.99 x 0.86 inches,‎Aluminum Black,‎Intel,‎8,‎DDR4 SDRAM,‎16 GB,‎Solid State,‎No Optical Drive,,‎1 Lithium Ion batteries required. (included),,,‎7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.97
49,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎3.3 GHz pentium,‎16 DDR4,,‎1 TB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,,‎Bluetooth,‎2,,‎Lenovo,‎Laptop,‎G2,,‎Windows 11 Home,‎3.75 pounds,‎14.14 x 9.28 x 0.78 inches,‎14.14 x 9.28 x 0.78 inches,‎Black,‎Intel,‎4,‎DDR4 SDRAM,,‎PCIE x 4,‎No Optical Drive,,,,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.99
50,‎17.3 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎2.4 GHz core_i7,‎32 GB DDR5,‎4800 MHz,‎1 TB SSD,‎NVIDIA GeForce RTX 4060,‎NVIDIA,‎RTX 4060,‎8 GB,‎802.11ad,‎3,,‎MSI,‎Katana 17 B13VFK-835US,‎KATANA1713835,,‎Windows 11 Home,‎9.86 pounds,‎15.67 x 10.75 x 0.99 inches,‎15.67 x 10.75 x 0.99 inches,‎Black,‎Intel,‎10,‎DDR5 SDRAM,‎32 GB,‎SATA 3 GB/s,,,‎1 Lithium Polymer batteries required. (included),,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.08
